First,Last,Player,Team,Season,Min,Pos,Shots,SoT,Dist,Solo,Goals,xG,xPlace,G.xG,KeyP,Dist.key,Assts,xA,A.xA,xG.xA,xGperShot,xAperPass,GmxGperShot,AmxAperPass
Justin,Meram,Justin Meram,CLB,2016,2694,A,76,27,20.25730733,0.171052632,5,7.384719313,0.030046674,-2.384719313,47,17.52505252,10,6.638621378,3.361378622,14.02334069,0.097167359,0.141247263,-0.031377886,0.071518694
Dominic,Dwyer,Dominic Dwyer,"SKC, ORL",2017,2359,F,73,36,16.50041138,0.178082192,9,10.37398106,0.834226824,-1.373981057,23,19.84654926,4,3.633026947,0.366973053,14.007008,0.14210933,0.157957693,-0.018821658,0.01595535
Fanendo,Adi,Fanendo Adi,POR,2017,2000,F,69,30,15.39431113,0.188405797,10,11.97183338,-1.526972749,-1.971833382,25,22.05928554,2,1.935711073,0.064288927,13.90754446,0.173504832,0.077428443,-0.028577295,0.002571557
Kei,Kamara,Kei Kamara,NER,2017,2484,F,88,35,18.60823415,0.227272727,12,9.708795434,0.864021134,2.291204566,25,19.26645508,4,4.13262505,-0.13262505,13.84142048,0.110327221,0.165305002,0.026036416,-0.005305002
Yura,Movsisyan,Yura Movsisyan,RSL,2016,2270,F,68,28,17.66057906,0.235294118,9,11.48202544,-1.634050283,-2.482025435,21,19.12456726,3,2.342100596,0.657899404,13.82412603,0.168853315,0.1115286,-0.036500374,0.031328543
Justin,Meram,Justin Meram,CLB,2017,2685,A,61,27,19.58138565,0.131147541,13,8.240058321,1.222392707,4.759941679,46,19.33475879,5,5.572783814,-0.572783814,13.81284214,0.135082923,0.121147474,0.078031831,-0.012451822
Ethan,Finlay,Ethan Finlay,CLB,2015,2890,A,53,28,16.91411343,0.150943396,12,8.157148247,1.208951179,3.842851753,36,16.41642447,11,5.447794311,5.552205689,13.60494256,0.153908457,0.15132762,0.072506637,0.154227936
Didier,Drogba,Didier Drogba,MTL,2016,1744,F,90,34,24.54813808,0.411111111,10,9.896825252,0.751937058,0.103174748,35,20.19412662,3,3.702230479,-0.702230479,13.59905573,0.109964725,0.105778014,0.001146386,-0.020063728
Ignacio,Piatti,Ignacio Piatti,MTL,2017,2512,F,74,37,25.35273621,0.337837838,17,9.616095068,3.132965431,7.383904932,46,19.6397705,5,3.982243108,1.017756892,13.59833818,0.129947231,0.086570502,0.099782499,0.02212515
Javier,Morales,Javier Morales,RSL,2015,2257,M,50,19,24.54132406,0.6,8,6.341564427,-0.080179209,1.658435573,83,18.48138862,9,7.255345863,1.744654137,13.59691029,0.126831289,0.087413806,0.033168711,0.021019929
Ignacio,Piatti,Ignacio Piatti,MTL,2015,2294,A,60,28,21.16817793,0.283333333,9,8.533718918,1.510752917,0.466281082,53,21.70844543,7,4.914990855,2.085009145,13.44870977,0.142228649,0.092735677,0.007771351,0.039339795
Maximiliano,Urruti,Maximiliano Urruti,FCD,2017,2885,F,102,38,20.92544444,0.31372549,12,9.797909193,-0.826733622,2.202090807,32,20.12700672,4,3.51663046,0.48336954,13.31453965,0.096057933,0.109894702,0.021589126,0.015105298
Lee,Nguyen,Lee Nguyen,NER,2015,2836,A,82,29,24.26498701,0.231707317,7,8.205825436,-0.498712985,-1.205825436,47,18.99232298,8,5.092733191,2.907266809,13.29855863,0.100071042,0.108356025,-0.014705188,0.061856741
Kevin,Molino,Kevin Molino,MIN,2017,2634,A,46,16,17.42007121,0.304347826,7,8.296748483,0.266581627,-1.296748483,47,17.81006383,9,4.996076271,4.003923729,13.29282475,0.180364097,0.106299495,-0.028190184,0.085189867
Albert,Rusnak,Albert Rusnak,RSL,2017,2723,A,86,28,26.95742913,0.244186047,7,5.59660078,-0.042717824,1.40339922,98,19.29406448,12,7.676558626,4.323441374,13.27315941,0.065076753,0.078332231,0.016318596,0.044116749
C.J.,Sapong,C.J. Sapong,PHI,2016,2660,F,60,22,14.7034863,0.066666667,7,11.60345033,-3.125461672,-4.603450326,24,22.0300597,2,1.649632214,0.350367786,13.25308254,0.193390839,0.068734676,-0.076724172,0.014598658
Maximiliano,Moralez,Maximiliano Moralez,NYC,2017,2650,M,44,17,20.30995259,0.272727273,5,4.554173988,0.784135022,0.445826012,77,17.65490555,8,8.641695342,-0.641695342,13.19586933,0.103503954,0.11222981,0.010132409,-0.008333706
Sebastien,Le Toux,Sebastien Le Toux,PHI,2015,2490,A,50,25,19.08462478,0.16,8,7.435858649,1.961674818,0.564141351,38,16.56511398,5,5.753412357,-0.753412357,13.18927101,0.148717173,0.151405588,0.011282827,-0.019826641
Ethan,Finlay,Ethan Finlay,CLB,2016,2589,A,46,20,16.15659132,0.195652174,6,8.557139178,-0.707889335,-2.557139178,33,17.39416341,6,4.625312497,1.374687503,13.18245168,0.186024765,0.140160985,-0.055589982,0.041657197
Benny,Feilhaber,Benny Feilhaber,SKC,2017,2407,M,63,19,24.21420449,0.380952381,5,6.582292746,-0.86292492,-1.582292746,64,20.10086572,1,6.549473509,-5.549473509,13.13176626,0.104480837,0.102335524,-0.025115758,-0.086710524
David,Accam,David Accam,CHI,2016,2050,A,71,27,19.04828302,0.267605634,9,9.74292528,-0.354643688,-0.74292528,28,19.18943757,2,3.37784835,-1.37784835,13.12077363,0.1372243,0.120637441,-0.010463736,-0.04920887
Maximiliano,Urruti,Maximiliano Urruti,FCD,2016,2592,F,91,35,19.65291519,0.252747253,9,11.23923138,-1.24661051,-2.239231379,27,23.73740903,3,1.846206962,1.153793038,13.08543834,0.123508037,0.068378036,-0.024606938,0.042733075
Cyle,Larin,Cyle Larin,ORL,2015,1966,F,64,28,14.90705043,0.125,17,10.96527087,1.484655358,6.034729126,12,20.98056075,0,2.115207872,-2.115207872,13.08047875,0.171332357,0.176267323,0.094292643,-0.176267323
Victor,Vazquez,Victor Vazquez,TOR,2017,2473,M,41,19,22.33831454,0.390243902,8,5.468196592,1.67721446,2.531803408,76,17.44364665,10,7.602450773,2.397549227,13.07064736,0.133370649,0.100032247,0.061751303,0.0315467
Michael,Barrios,Michael Barrios,FCD,2017,2711,A,61,16,21.77311966,0.245901639,3,5.363830294,-0.890490596,-2.363830294,63,19.82760448,12,7.43798151,4.56201849,12.8018118,0.087931644,0.118063199,-0.038751316,0.072412992
Diego,Fagundez,Diego Fagundez,NER,2017,2555,M,73,33,20.78173535,0.246575342,7,8.815971967,1.53670786,-1.815971967,36,19.26758509,7,3.733871673,3.266128327,12.54984364,0.120766739,0.103718658,-0.024876328,0.090725787
Kevin,Molino,Kevin Molino,ORL,2016,2449,A,59,20,16.92979514,0.322033898,11,8.375431635,-0.433300909,2.624568365,41,18.84320632,8,4.114211294,3.885788706,12.48964293,0.141956468,0.100346617,0.04448421,0.094775334
Robbie,Keane,Robbie Keane,LAG,2016,1507,F,40,20,13.48895083,0.15,10,10.86569846,-1.252070246,-0.865698462,11,16.78920765,1,1.537969106,-0.537969106,12.40366757,0.271642462,0.139815373,-0.021642462,-0.048906282
Fabian,Castillo,Fabian Castillo,FCD,2015,2676,A,79,30,18.32868782,0.164556962,9,8.809493979,-0.111087498,0.190506021,30,18.13651306,7,3.551386023,3.448613977,12.36088,0.111512582,0.118379534,0.002411469,0.114953799
Charlie,Davies,Charlie Davies,NER,2015,2251,F,49,25,13.9566108,0.12244898,10,9.7795004,1.075868727,0.2204996,19,19.60680399,3,2.51136045,0.48863955,12.29086085,0.199581641,0.132176866,0.004499992,0.025717871
Federico,Higuain,Federico Higuain,CLB,2017,2342,A,52,24,22.96766244,0.326923077,9,6.202761407,1.700086672,2.797238593,57,15.95600451,9,5.99374216,3.00625784,12.19650357,0.119283873,0.105153371,0.05379305,0.052741366
Brad,Davis,Brad Davis,HOU,2015,2729,M,45,16,24.70902203,0.466666667,4,4.610989591,-0.404314036,-0.610989591,69,16.11533717,9,7.400568188,1.599431812,12.01155778,0.102466435,0.107254611,-0.013577546,0.023180171
Chris,Pontius,Chris Pontius,PHI,2016,2642,A,65,34,16.65941767,0.261538462,12,8.538860628,1.876965511,3.461139372,23,18.63208389,4,3.449210109,0.550789891,11.98807074,0.131367087,0.149965657,0.053248298,0.023947387
Jack,Harrison,Jack Harrison,NYC,2017,2872,F,64,31,22.58239799,0.171875,10,6.694879208,2.957398891,3.305120792,42,17.12189862,3,5.226077185,-2.226077185,11.92095639,0.104607488,0.124430409,0.051642512,-0.053001838
Lamar,Neagle,Lamar Neagle,DCU,2016,2052,M,51,21,18.08964721,0.333333333,9,7.763872993,0.781273474,1.236127007,27,15.43511355,5,4.15171071,0.84828929,11.9155837,0.152232804,0.153767063,0.024237784,0.031418122
Benny,Feilhaber,Benny Feilhaber,SKC,2016,2712,M,46,13,25.37747559,0.391304348,7,6.828809828,0.02973182,0.171190172,56,18.45384738,5,5.073212281,-0.073212281,11.90202211,0.148452388,0.090593076,0.003721525,-0.001307362
Will,Bruin,Will Bruin,SEA,2017,1917,F,52,20,14.42649834,0.192307692,11,9.887437414,-0.760700687,1.112562586,20,21.30839226,2,2.005438606,-0.005438606,11.89287602,0.190143027,0.10027193,0.021395434,-0.00027193
Kelyn,Rowe,Kelyn Rowe,NER,2016,2937,A,64,23,20.72534457,0.15625,5,4.864316587,-0.356073323,0.135683413,48,17.0344177,6,6.973957376,-0.973957376,11.83827396,0.076004947,0.145290779,0.002120053,-0.020290779
Dominique,Badji,Dominique Badji,COL,2017,2676,F,55,27,15.59663479,0.236363636,9,9.681091958,-1.127297508,-0.681091958,14,20.31701096,4,2.155575274,1.844424726,11.83666723,0.176019854,0.153969662,-0.01238349,0.131744623
Christian,Ramirez,Christian Ramirez,MIN,2017,2529,F,58,31,16.42763234,0.155172414,14,10.36704792,3.273295818,3.632952079,13,22.03322297,3,1.408566577,1.591433423,11.7756145,0.178742206,0.108351275,0.062637105,0.122417956
Cyle,Larin,Cyle Larin,ORL,2017,2302,F,55,32,15.00557125,0.163636364,12,10.33066813,2.404357926,1.669331872,21,25.01034643,3,1.417658,1.582342,11.74832613,0.18783033,0.067507524,0.030351489,0.075349619
